2012-07-17 12:01:57 configure eject 2.1.5+deb1-4 2.1.5+deb1-4
2012-07-17 12:01:57 status unpacked eject 2.1.5+deb1-4
2012-07-17 12:01:57 status half-configured eject 2.1.5+deb1-4
2012-07-17 12:01:57 status installed eject 2.1.5+deb1-4
2012-07-17 12:01:57 configure libcairomm-1.0-1 1.6.0-1 1.6.0-1
2012-07-17 12:01:57 status unpacked libcairomm-1.0-1 1.6.0-1
2012-07-17 12:01:58 status half-configured libcairomm-1.0-1 1.6.0-1
2012-07-17 12:02:03 status installed libcairomm-1.0-1 1.6.0-1
2012-07-17 12:02:04 configure libglibmm-2.4-1c2a 2.16.4-1 2.16.4-1
2012-07-17 12:02:04 status unpacked libglibmm-2.4-1c2a 2.16.4-1
2012-07-17 12:02:04 status half-configured libglibmm-2.4-1c2a 2.16.4-1
2012-07-17 12:02:07 status installed libglibmm-2.4-1c2a 2.16.4-1
2012-07-17 12:02:08 configure libgtkmm-2.4-1c2a 1:2.12.7-1 1:2.12.7-1
2012-07-17 12:02:08 status unpacked libgtkmm-2.4-1c2a 1:2.12.7-1
2012-07-17 12:02:08 status half-configured libgtkmm-2.4-1c2a 1:2.12.7-1
2012-07-17 12:02:10 status installed libgtkmm-2.4-1c2a 1:2.12.7-1
2012-07-17 12:02:11 configure libparted1.8-10 1.8.8.git.2008.03.24-11.1 1.8.8.git.2008.03.24-11.1
2012-07-17 12:02:11 status unpacked libparted1.8-10 1.8.8.git.2008.03.24-11.1
2012-07-17 12:02:11 status half-configured libparted1.8-10 1.8.8.git.2008.03.24-11.1
2012-07-17 12:02:11 status installed libparted1.8-10 1.8.8.git.2008.03.24-11.1
2012-07-17 12:02:11 configure libhal1 0.5.11-8 0.5.11-8
2012-07-17 12:02:11 status unpacked libhal1 0.5.11-8
2012-07-17 12:02:11 status half-configured libhal1 0.5.11-8
2012-07-17 12:02:12 status installed libhal1 0.5.11-8
2012-07-17 12:02:12 configure libhal-storage1 0.5.11-8 0.5.11-8
2012-07-17 12:02:12 status unpacked libhal-storage1 0.5.11-8
2012-07-17 12:02:12 status half-configured libhal-storage1 0.5.11-8
2012-07-17 12:02:12 status installed libhal-storage1 0.5.11-8
2012-07-17 12:02:12 configure usbutils 0.73-10lenny2 0.73-10lenny2
2012-07-17 12:02:12 status unpacked usbutils 0.73-10lenny2
2012-07-17 12:02:12 status half-configured usbutils 0.73-10lenny2
2012-07-17 12:02:12 status installed usbutils 0.73-10lenny2
2012-07-17 12:02:12 configure hal-info 20080508+git20080601-1 20080508+git20080601-1
2012-07-17 12:02:12 status unpacked hal-info 20080508+git20080601-1
2012-07-17 12:02:12 status half-configured hal-info 20080508+git20080601-1
2012-07-17 12:02:12 status installed hal-info 20080508+git20080601-1
2012-07-17 12:02:12 configure powermgmt-base 1.30+nmu1 1.30+nmu1
2012-07-17 12:02:12 status unpacked powermgmt-base 1.30+nmu1
2012-07-17 12:02:12 status half-configured powermgmt-base 1.30+nmu1
2012-07-17 12:02:12 status installed powermgmt-base 1.30+nmu1
2012-07-17 12:02:12 configure menu 2.1.41 2.1.41
2012-07-17 12:02:12 status unpacked menu 2.1.41
2012-07-17 12:02:12 status unpacked menu 2.1.41
2012-07-17 12:02:13 status unpacked menu 2.1.41
2012-07-17 12:02:13 status unpacked menu 2.1.41
2012-07-17 12:02:13 status unpacked menu 2.1.41
2012-07-17 12:02:13 status half-configured menu 2.1.41
2012-07-17 12:02:14 status installed menu 2.1.41
2012-07-17 12:02:16 status triggers-pending menu 2.1.41
2012-07-17 12:02:16 status triggers-awaited menu 2.1.41
2012-07-17 12:02:16 configure radeontool 1.5-5 1.5-5
2012-07-17 12:02:16 status unpacked radeontool 1.5-5
2012-07-17 12:02:16 status half-configured radeontool 1.5-5
2012-07-17 12:02:16 status installed radeontool 1.5-5
2012-07-17 12:02:16 configure console-common 0.7.80 0.7.80
2012-07-17 12:02:16 status unpacked console-common 0.7.80
2012-07-17 12:02:17 status unpacked console-common 0.7.80
2012-07-17 12:02:18 status half-configured console-common 0.7.80
2012-07-17 12:02:23 status installed console-common 0.7.80
2012-07-17 12:02:23 configure kbd 1.14.1-4 1.14.1-4
2012-07-17 12:02:23 status unpacked kbd 1.14.1-4
2012-07-17 12:02:23 status unpacked kbd 1.14.1-4
2012-07-17 12:02:23 status unpacked kbd 1.14.1-4
2012-07-17 12:02:23 status unpacked kbd 1.14.1-4
2012-07-17 12:02:23 status half-configured kbd 1.14.1-4
2012-07-17 12:02:24 status installed kbd 1.14.1-4
2012-07-17 12:02:24 configure pm-utils 1.1.2.4-1 1.1.2.4-1
2012-07-17 12:02:24 status unpacked pm-utils 1.1.2.4-1
2012-07-17 12:02:24 status half-configured pm-utils 1.1.2.4-1
2012-07-17 12:02:24 status installed pm-utils 1.1.2.4-1
2012-07-17 12:02:24 configure hal 0.5.11-8 0.5.11-8
2012-07-17 12:02:24 status unpacked hal 0.5.11-8
2012-07-17 12:02:24 status unpacked hal 0.5.11-8
2012-07-17 12:02:24 status unpacked hal 0.5.11-8
2012-07-17 12:02:24 status unpacked hal 0.5.11-8
2012-07-17 12:02:24 status unpacked hal 0.5.11-8
2012-07-17 12:02:24 status unpacked hal 0.5.11-8
2012-07-17 12:02:24 status half-configured hal 0.5.11-8
2012-07-17 12:02:29 status installed hal 0.5.11-8
2012-07-17 12:02:29 trigproc menu 2.1.41 2.1.41
2012-07-17 12:02:29 status half-configured menu 2.1.41
2012-07-17 12:02:29 status installed menu 2.1.41
2012-07-17 12:02:29 configure gparted 0.3.8-1+b1 0.3.8-1+b1
2012-07-17 12:02:29 status unpacked gparted 0.3.8-1+b1
2012-07-17 12:02:29 status half-configured gparted 0.3.8-1+b1
